,keys_pair,minutesSinceStart,gap,barClosePrice,tradePrice,Lpred1b,Lpred2b,Lpred3b,Lpred4b,Lpred5b,Lpred6b,Lpred7b,Lpred8b,Lpred9b,Lpred10b,Lpred11b,Lpred12b,Lpred13b,Lpred14b
1856918,pair_1,0.0,0,,,-0.000641711034266684,-0.000792104138862631,-0.000762881666994491,-0.000376815835465846,0.00024238333236160697,0.000854208444927538,0.00157754350188473,0.00122995234757955,-0.00030620332442681,-0.00275863917325922,-0.005336515388188,-0.0062450567432819105,-0.00688216350056921,-0.00797798660707755
1856919,pair_1,5.0,0,,,-0.000741830479357884,-0.000956878682451275,-0.0009843024487896312,-0.00060868258623668,2.63126023188843e-05,0.000649881908536444,0.00127157788498117,0.000743504355829226,-0.000437079591075657,-0.00292614838109908,-0.00564697914314772,-0.0066370325524706605,-0.00726627594861577,-0.00830466951097207
1856920,pair_1,10.0,0,,,-0.000742261230565985,-0.0009749301892870381,-0.00101259359775833,-0.000696462928496102,-0.000149632473788101,0.000406469499468714,0.00102053973319365,0.000569893067390317,-0.000769236128304322,-0.0032639232441454198,-0.00574990942235823,-0.00650819432062373,-0.0072518320659157,-0.00820129311771939
1856921,pair_1,15.0,0,,,-0.000740690593864691,-0.00088783101663103,-0.0008184037743071941,-0.00037009672656381404,0.00024988599369416497,0.0007837691285167219,0.0012448422250859801,0.000698091379543503,-0.0006185750068113161,-0.00290054852791934,-0.00550207901171784,-0.00617859814750268,-0.00679169332587219,-0.00777624815899985
1856922,pair_1,20.0,0,,,-0.000691004685368464,-0.000751799207564689,-0.000602735678199175,-5.44564351350493e-05,0.000627901713738125,0.00115657831440811,0.00153418727934734,0.0009505996804268609,-0.000470603709474337,-0.00259794379912416,-0.0052543893509540895,-0.00599186528430767,-0.00645799830775456,-0.00753464160649115
1856923,pair_1,25.0,0,,,-0.000682979750573883,-0.0007406706467827929,-0.000589940670761712,-5.26977953830101e-05,0.000620125235671049,0.00116282239699187,0.0015471120711692,0.0008670750132196179,-0.000469805742029831,-0.0025527539984417,-0.00534540778669756,-0.00615884732275009,-0.0067121346988897705,-0.00778149426873812
1856924,pair_1,30.0,0,,,-0.000585572032030915,-0.000575195500586452,-0.00039664419688821204,0.00013771837655152,0.000817232346201453,0.00136249681481516,0.0017744812917626302,0.0010055440126002,-0.00045187350850754406,-0.00234369305546805,-0.00485796350032833,-0.005690367922876629,-0.00611985032312208,-0.00723002766102532
1856925,pair_1,35.0,0,,,-0.0005076661265389981,-0.000462627738207401,-0.000238542802597555,0.000295395785707745,0.000918091676231523,0.00140176666772083,0.0016989947026626198,0.000786804409824451,-0.000741606038607279,-0.00268362182377259,-0.00534903715023003,-0.00617624914458363,-0.00668303658379632,-0.007735646897696009
1856926,pair_1,40.0,0,,,-0.00045775741890763096,-0.00033264346179624304,-4.31489546028728e-05,0.0005321188747421469,0.00116038470678622,0.00159804687977161,0.00185159511264955,0.00102382664279044,-0.000686033225356408,-0.00254629206771558,-0.00508917906044188,-0.00585953562091452,-0.0062616842219281,-0.00739326427417211
1856927,pair_1,45.0,0,,,-0.000521059522982202,-0.000502351340618551,-0.000302079427704103,0.00015113936465696899,0.000724726069553585,0.00122868044673874,0.00158487051667316,0.000407301478571875,-0.0010087014559554302,-0.00303918126215333,-0.0054641362606330105,-0.00625436389744706,-0.00693408979152676,-0.00791193889072706
1856928,pair_1,50.0,0,,,-0.0005770832413725269,-0.000578919391401031,-0.000402827011144946,6.82225818336626e-06,0.0005382855710339639,0.00100216074963843,0.00129003102077268,2.63884908841172e-05,-0.00119460603152113,-0.00333211102753365,-0.00581003302177083,-0.00669746889550269,-0.00737096263904826,-0.00831539388689085
1856929,pair_1,55.0,0,,,-0.0005510882388911519,-0.000513420130034178,-0.000326888207847926,9.52729518761148e-05,0.00062153742626374,0.00106283080221075,0.00130771012050011,6.95407358862693e-06,-0.00138598116048936,-0.0033238657006243602,-0.0057873263791855,-0.00673161570104835,-0.00734117096948937,-0.008329604171428941
1856930,pair_1,60.0,0,,,-0.000626318862837184,-0.000597042515486228,-0.000395624723283823,0.000108965260891649,0.0006702188719783191,0.00107519000671164,0.00117644583690897,-0.00011754360602206101,-0.0016163764106730302,-0.0034620278812963,-0.006052767681288779,-0.00679669856341315,-0.00733055539734218,-0.008242797241745791
1856931,pair_1,65.0,0,,,-0.000636350930175484,-0.0006470016485328059,-0.000468463705990563,2.4857461595796e-05,0.000585864972144177,0.00100499053622947,0.00110750826595097,-0.00015630401821921998,-0.0014359564463075302,-0.00342217521102767,-0.00602106411060111,-0.00681700467841196,-0.0074064351124916794,-0.00828981453312436
1856932,pair_1,70.0,0,,,-0.0006094422390822861,-0.0006036035674771879,-0.000412974231818067,8.9755046938833e-05,0.0006685986253905371,0.00110728191424225,0.00122530206347556,-9.43043407860169e-05,-0.00137136235774591,-0.0032460961668516397,-0.00585225860258404,-0.00660080289574829,-0.007203573302660209,-0.008098962807101309
